0,1,2,3
2009-02-10,44.874218,23.83672,0.0
2009-02-11,49.4375,36.40508,0.07404962
2009-02-12,60.8,38.65508,0.27036187
2009-02-13,40.360157,31.712158,0.0
2009-02-14,34.17793,27.665234,0.0
2009-02-15,30.965527,19.990625,0.09965557
2009-02-16,33.015137,19.920313,0.0
2009-02-17,31.184814,14.520313,0.0
2009-02-18,35.49453,14.815626,0.0
2009-02-19,37.769142,27.194141,0.30542585
2009-02-20,31.677881,14.182814,0.07058936
2009-02-21,22.739845,12.790625,0.0
2009-02-22,35.57363,14.295313,0.019406307
2009-02-23,27.66875,18.275002,0.0
2009-02-24,23.27422,9.950001,0.0
2009-02-25,29.953907,10.8359375,0.0
2009-02-26,44.248436,14.112501,0.01232238
2009-02-27,51.67344,35.684376,0.0
2009-02-28,52.25,23.970314,0.33464587
2009-03-01,35.336327,22.838282,0.0
2009-03-02,38.036327,14.745314,0.0
2009-03-03,21.382812,5.2109375,0.0
2009-03-04,25.879297,5.407814,0.0
2009-03-05,35.425976,9.1484375,0.0
2009-03-06,51.828125,15.926563,0.0
2009-03-07,65.55312,44.99375,0.0
2009-03-08,68.30937,51.476562,0.007357864
2009-03-09,55.189064,42.814064,0.6619098
2009-03-10,46.85,32.54712,0.0
2009-03-11,44.15,33.822853,0.024606314
2009-03-12,60.9125,25.316797,0.0
2009-03-13,34.703514,20.363281,0.0
2009-03-14,42.58203,21.713282,0.0
2009-03-15,49.95781,27.239843,0.0
2009-03-16,54.696877,35.016407,0.0
2009-03-17,49.409374,36.928905,0.21961135
2009-03-18,53.7125,34.142773,0.0
2009-03-19,70.05312,34.88457,0.0
2009-03-20,52.629684,24.188282,0.0
2009-03-21,41.66797,17.304688,0.0
2009-03-22,44.38203,20.609375,0.0
2009-03-23,52.123436,19.78672,0.0
2009-03-24,45.450783,16.967188,0.0
2009-03-25,45.87969,21.214062,0.0
2009-03-26,47.820312,32.47329,0.05305736
2009-03-27,40.62031,34.206055,0.44291362
2009-03-28,55.428123,35.489258,0.10488441
2009-03-29,51.856247,43.54531,0.037236273
2009-03-30,49.803123,33.362305,0.1239543
2009-03-31,37.403515,28.9625,0.0
2009-04-01,57.846874,30.431152,0.0
2009-04-02,47.35625,36.907814,0.21484387
2009-04-03,62.740623,39.389843,0.1954664
2009-04-04,57.790627,36.20469,0.4918187
2009-04-05,47.1875,32.084595,0.0
2009-04-06,63.5,37.635548,0.073626705
2009-04-07,51.603127,28.684765,0.04955865
2009-04-08,35.733593,28.85879,0.0
2009-04-09,46.976562,25.067188,0.0
2009-04-10,55.30156,31.571753,0.0
2009-04-11,48.70625,36.208202,0.11549588
2009-04-12,53.121872,27.531641,0.0056661805
2009-04-13,48.49531,21.917187,0.0
2009-04-14,51.546875,29.92754,0.17439725
2009-04-15,44.07969,38.76758,0.61208206
2009-04-16,43.79844,28.477345,0.27620587
2009-04-17,63.05,29.322851,0.0
2009-04-18,67.74687,35.59121,0.0
2009-04-19,71.57187,45.51406,0.0
2009-04-20,65.075,38.83086,0.111112885
2009-04-21,45.05,37.958984,0.5136568
2009-04-22,57.481247,35.1834,0.09542636
2009-04-23,48.49531,32.543163,0.09311952
2009-04-24,52.896873,30.515528,0.0
2009-04-25,73.70937,43.559376,0.015465452
2009-04-26,83.075,49.690624,0.0
2009-04-27,84.48125,53.07969,0.0
2009-04-28,86.39375,58.282814,0.0
2009-04-29,81.10625,41.309376,0.15694214
2009-04-30,61.925,44.26953,0.0
2009-05-01,59.675,49.353127,0.0816622
2009-05-02,69.462494,49.507812,0.20930745
2009-05-03,61.75625,43.82656,0.0
2009-05-04,56.384377,45.66172,0.115880355
2009-05-05,51.51875,46.667187,0.6010092
2009-05-06,54.78125,47.890625,0.288509
2009-05-07,63.78125,50.351562,0.522269
2009-05-08,67.859375,49.38125,0.0
2009-05-09,70.89687,53.417187,0.03419893
2009-05-10,73.87813,45.999218,3.9348473e-05
2009-05-11,58.198437,38.802734,0.0
2009-05-12,58.310936,36.176563,0.0
2009-05-13,61.503124,36.496483,0.0
2009-05-14,67.83125,45.38047,0.1605562
2009-05-15,67.60625,48.973434,0.35617638
2009-05-16,74.1875,51.6875,0.0
2009-05-17,77.30937,44.10781,0.6286913
2009-05-18,57.3125,34.223633,0.0
2009-05-19,59.18281,32.548878,0.0
2009-05-20,71.45937,40.289845,0.0
2009-05-21,79.64375,48.467186,0.0
2009-05-22,82.175,52.559372,0.0
2009-05-23,80.993744,55.4,0.0
2009-05-24,78.29375,56.398438,0.011447703
2009-05-25,80.515625,56.609375,0.035352353
2009-05-26,77.75937,52.278122,0.0
2009-05-27,54.570312,48.70625,0.32388058
2009-05-28,63.921875,50.126564,0.065744996
